start_x,start_y,start_z,end_x,end_y,end_z,object_index,side_index
-0.2061725713921801,0.11173450568482687,0.061029533302022085,-0.10622779522768573,0.11505531634071592,0.060911490865358166,0,0
-0.20480273896993595,0.07050725677118659,0.0610270538433159,-0.10485796280544159,0.07382806742707564,0.060909011406651975,0,0
-0.20343290654769178,0.02928000785754631,0.06102457438460969,-0.10348813038319742,0.03260081851343535,0.06090653194794577,0,0
-0.1309154037549679,0.18052159431959344,0.06094203257455995,-0.12759459788286084,0.08057674846834428,0.06093602176557523,0,1
-0.07844439626860836,0.1822650199139352,0.06088006029531137,-0.07512359039650131,0.08232017406268605,0.06087404948632666,0,1
-0.025973388782248828,0.18400844550827694,0.06081808801606282,-0.022652582910141772,0.08406359965702778,0.0608120772070781,0,1
0.11897802257746459,0.20398056651900573,0.06802299219837535,0.10865138972755085,0.1045151923731098,0.06802299676459524,1,0
0.10032826492510918,0.20591681017836444,0.06802299018154899,0.09000163207519545,0.10645143603246851,0.06802299474776888,1,0
0.08167850727275378,0.20785305383772318,0.06802298816472263,0.07135187442284004,0.10838767969182725,0.06802299273094252,1,0
0.14364801881520128,0.017938356830908664,0.06802300523765481,0.04418264466930577,0.02826498968082186,0.06802299448124759,1,1
0.1544909833076107,0.12237699968409939,0.06802300044312394,0.0550256091617152,0.13270363253401257,0.0680229896867167,1,1
0.15342569637019943,-0.036159861881205776,0.05798771543155396,0.05342669066094312,-0.03571392804626216,0.05798813373302424,2,0
0.153342083778687,-0.0549096754423578,0.05798831257503712,0.053343078069430686,-0.054463741607414184,0.057988730876507404,2,0
0.15325847118717456,-0.07365948900350983,0.05798890971852028,0.05325946547791825,-0.07321355516856622,0.05798932801999055,2,0
-0.02943481027908057,-0.11659522473075913,0.057991066453497594,-0.02898887645768098,-0.01659621907128167,0.05798788168825405,2,1
0.023064667718279003,-0.11682933999410454,0.05799084684522571,0.023510601539678582,-0.016830334334627092,0.05798766207998216,2,1
